date,id,force,portal-name,portal-plng,portal-plat
4:34PM,HeRoMo,RESISTANCE,西新井大師 宝照殿,139.78061,35.779645
4:34PM,melcube,ENLIGHTENED,巣鴨地蔵通り商店街,139.736808,35.73462
4:34PM,pddk,ENLIGHTENED,悠々館,139.803565,35.754835
4:35PM,pddk,ENLIGHTENED,悠々館,139.803565,35.754835
4:35PM,tmk4,ENLIGHTENED,夢現,139.795247,35.737512
4:35PM,melcube,ENLIGHTENED,Sugamon no Oshiri,139.736844,35.734801
4:35PM,melcube,ENLIGHTENED,真性寺 Shinseiji Temple,139.736934,35.73447
4:35PM,was1979,ENLIGHTENED,養昌寺,139.75312,35.726601
4:35PM,melcube,ENLIGHTENED,巣鴨地蔵通り商店街,139.736808,35.73462
4:35PM,darakkuma,ENLIGHTENED,亀有駅前郵便局,139.84825,35.768706
4:35PM,maori78,RESISTANCE,巣鴨地蔵通り商店街,139.736808,35.73462
4:35PM,wobblykk,RESISTANCE,Adachi Local Government Buildings,139.8076,35.748878
4:36PM,melcube,ENLIGHTENED,Sugamon no Oshiri,139.736844,35.734801
4:36PM,TMGM,RESISTANCE,Octopus Slide,139.804142,35.752645
4:36PM,12fizz,RESISTANCE,八広公園,139.825084,35.726213
4:36PM,maori78,RESISTANCE,Sugamon no Oshiri,139.736844,35.734801
4:36PM,b96061,ENLIGHTENED,モニュメント,139.801141,35.743812
4:36PM,darakkuma,ENLIGHTENED,亀有駅前郵便局,139.84825,35.768706
4:36PM,b96061,ENLIGHTENED,キリンとスター,139.801805,35.743794
4:36PM,b96061,ENLIGHTENED,稲荷神社,139.800998,35.743666
4:36PM,maori78,RESISTANCE,真性寺 Shinseiji Temple,139.736934,35.73447
4:36PM,burari43,RESISTANCE,文京区立竹早公園,139.739582,35.717577
4:37PM,tama001,RESISTANCE,Sengoku-ryokuti,139.742733,35.726555
4:37PM,maori78,RESISTANCE,巣鴨地蔵通り商店街,139.736808,35.73462
4:37PM,burari43,RESISTANCE,文京区立竹早公園,139.739582,35.717577
4:37PM,darakkuma,ENLIGHTENED,亀有駅前郵便局,139.84825,35.768706
4:37PM,pddk,ENLIGHTENED,氷川神社,139.805478,35.754101
4:38PM,tama001,RESISTANCE,Sengoku-ryokuti,139.742733,35.726555
4:38PM,burari43,RESISTANCE,文京区立竹早公園,139.739582,35.717577
4:38PM,b96061,ENLIGHTENED,モニュメント,139.801141,35.743812
4:38PM,heppokoact,RESISTANCE,稲荷神社,139.797815,35.743484
4:38PM,darakkuma,ENLIGHTENED,亀有駅前郵便局,139.84825,35.768706
4:38PM,b96061,ENLIGHTENED,稲荷神社,139.800998,35.743666
4:38PM,pddk,ENLIGHTENED,氷川神社,139.805478,35.754101
4:38PM,maori78,RESISTANCE,Madamada,139.737451,35.734212
4:38PM,b96061,ENLIGHTENED,キリンとスター,139.801805,35.743794
4:39PM,TMGM,RESISTANCE,shukuba-machi st. arcade 宿場町通りアーケード,139.803571,35.752378
4:39PM,maori78,RESISTANCE,Madamada,139.737451,35.734212
4:39PM,b96061,ENLIGHTENED,稲荷神社,139.800998,35.743666
4:39PM,darakkuma,ENLIGHTENED,亀有駅前郵便局,139.84825,35.768706
4:39PM,was1979,ENLIGHTENED,大運寺,139.751812,35.728768
4:40PM,TMGM,RESISTANCE,shukuba-machi st. arcade 宿場町通りアーケード,139.803571,35.752378
4:40PM,darakkuma,ENLIGHTENED,亀有駅前郵便局,139.84825,35.768706
4:40PM,Tomoning,ENLIGHTENED,不動院,139.800079,35.74721
4:40PM,was1979,ENLIGHTENED,教元寺,139.751589,35.729241
4:40PM,Tomoning,ENLIGHTENED,慈眼寺,139.799764,35.747189
4:40PM,b96061,ENLIGHTENED,キリンとスター,139.801805,35.743794
4:40PM,b96061,ENLIGHTENED,モニュメント,139.801141,35.743812
4:40PM,b96061,ENLIGHTENED,飛行機と怪獣,139.801601,35.743884
4:41PM,b96061,ENLIGHTENED,モニュメント,139.801141,35.743812
4:41PM,was1979,ENLIGHTENED,長源寺,139.751472,35.729464
4:41PM,Tomoning,ENLIGHTENED,慈眼寺,139.799764,35.747189
4:41PM,Tomoning,ENLIGHTENED,不動院,139.800079,35.74721
4:41PM,Tomoning,ENLIGHTENED,足立中居郵便局,139.799271,35.749215
4:41PM,Tomoning,ENLIGHTENED,Senju-Juku Toiyaba Mark,139.801347,35.747004
4:41PM,darakkuma,ENLIGHTENED,Board at Nakagawa,139.847714,35.769442
4:41PM,darakkuma,ENLIGHTENED,小粋,139.847973,35.769235
4:41PM,HeRoMo,RESISTANCE,本を読む少女,139.780128,35.782075
4:42PM,b96061,ENLIGHTENED,モニュメント,139.801141,35.743812
4:42PM,HeRoMo,RESISTANCE,本を読む少女,139.780128,35.782075
4:42PM,Tomoning,ENLIGHTENED,慈眼寺,139.799764,35.747189
4:42PM,12fizz,RESISTANCE,Keisei Yahiro Station,139.828249,35.726989
4:42PM,Tomoning,ENLIGHTENED,不動院,139.800079,35.74721
4:42PM,pablongold,RESISTANCE,稲荷神社,139.800998,35.743666
4:42PM,pablongold,RESISTANCE,モニュメント,139.801141,35.743812
